API,KG_category,Subject,Object,URL
BioThings Explorer (BTE) TRAPI,biolink:related_to,biolink:Disease,biolink:Treatment,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:related_to,biolink:Treatment,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:similar_to,biolink:ChemicalEntity,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Protein,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:SmallMolecule,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:SmallMolecule,biolink:MolecularMixture,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:ChemicalEntity,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:ChemicalEntity,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:MolecularMixture,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:SmallMolecule,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:condition_associated_with_gene,biolink:PhenotypicFeature,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:SmallMolecule,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Protein,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:similar_to,biolink:SmallMolecule,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:similar_to,biolink:SmallMolecule,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:directly_physically_interacts_with,biolink:Gene,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:directly_physically_interacts_with,biolink:Gene,biolink:MolecularMixture,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:similar_to,biolink:ChemicalEntity,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:ChemicalEntity,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:Gene,biolink:ChemicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Protein,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:treats,biolink:MolecularMixture,biolink:DiseaseOrPhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:treats,biolink:SmallMolecule,biolink:DiseaseOrPhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:NucleicAcidEntity,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:in_preclinical_trials_for,biolink:SmallMolecule,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:tested_by_preclinical_trials_of,biolink:Disease,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:negatively_correlated_with,biolink:Disease,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:negatively_correlated_with,biolink:Drug,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:negatively_correlated_with,biolink:Procedure,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:negatively_correlated_with,biolink:Procedure,biolink:Drug,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:positively_correlated_with,biolink:Procedure,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:negatively_correlated_with,biolink:Procedure,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:negatively_correlated_with,biolink:Procedure,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:negatively_correlated_with,biolink:SmallMolecule,biolink:Procedure,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:Gene,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:SmallMolecule,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:Gene,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:correlated_with,biolink:Gene,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:binds,biolink:SmallMolecule,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:binds,biolink:Protein,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:binds,biolink:Protein,biolink:MolecularMixture,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:binds,biolink:MolecularMixture,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affected_by,biolink:SmallMolecule,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:related_to,biolink:SmallMolecule,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:gene_associated_with_condition,biolink:Gene,biolink:PhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:has_part,biolink:Gene,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affects,biolink:SmallMolecule,biolink:NucleicAcidEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:treated_by,biolink:Disease,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:affects,biolink:SmallMolecule,biolink:DiseaseOrPhenotypicFeature,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:interacts_with,biolink:SmallMolecule,biolink:Protein,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:in_clinical_trials_for,biolink:SmallMolecule,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:tested_by_clinical_trials_of,biolink:Disease,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:develops_into,biolink:AnatomicalEntity,biolink:AnatomicalEntity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:occurs_together_in_literature_with,biolink:Gene,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:occurs_together_in_literature_with,biolink:SmallMolecule,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:occurs_together_in_literature_with,biolink:Disease,biolink:Gene,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:occurs_together_in_literature_with,biolink:Gene,biolink:Disease,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:adverse_event_of,biolink:PhenotypicFeature,biolink:SmallMolecule,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:disrupted_by,biolink:CellularComponent,biolink:Polypeptide,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:CellularComponent,biolink:Cell,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:MolecularActivity,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:CellularComponent,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:Bacterium,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:part_of,biolink:CellularComponent,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:Fungus,https://bte.transltr.io/v1/query
BioThings Explorer (BTE) TRAPI,biolink:location_of,biolink:CellularComponent,biolink:Virus,https://bte.transltr.io/v1/query
